,Unit,DocketNum
0,Arkansas Nuclear 1,05000313
1,Arkansas Nuclear 2,05000368
2,Beaver Valley 1,05000334
3,Beaver Valley 2,05000412
4,Braidwood 1,05000456
5,Braidwood 2,05000457
6,Browns Ferry 1,05000259
7,Browns Ferry 2,05000260
8,Browns Ferry 3,05000296
9,Brunswick 1,05000325
10,Brunswick 2,05000324
11,Byron 1,05000454
12,Byron 2,05000455
13,Callaway,05000483
14,Calvert Cliffs 1,05000317
15,Calvert Cliffs 2,05000318
16,Catawba 1,05000413
17,Catawba 2,05000414
18,Clinton,05000461
19,Columbia Generating Station,05000397
20,Comanche Peak 1,05000445
21,Comanche Peak 2,05000446
22,Cooper,05000298
23,D.C. Cook 1,05000315
24,D.C. Cook 2,05000316
25,Davis-Besse,05000346
26,Diablo Canyon 1,05000275
27,Diablo Canyon 2,05000323
28,Dresden 2,05000237
29,Dresden 3,05000249
30,Farley 1,05000348
31,Farley 2,05000364
32,Fermi 2,05000341
33,FitzPatrick,05000333
34,Ginna,05000244
35,Grand Gulf 1,05000416
36,Harris 1,05000400
37,Hatch 1,05000321
38,Hatch 2,05000366
39,Hope Creek 1,05000354
40,LaSalle 1,05000373
41,LaSalle 2,05000374
42,Limerick 1,05000352
43,Limerick 2,05000353
44,McGuire 1,05000369
45,McGuire 2,05000370
46,Millstone 2,05000336
47,Millstone 3,05000423
48,Monticello,05000263
49,Nine Mile Point 1,05000220
50,Nine Mile Point 2,05000410
51,North Anna 1,05000338
52,North Anna 2,05000339
53,Oconee 1,05000269
54,Oconee 2,05000270
55,Oconee 3,05000287
56,Palo Verde 1,05000528
57,Palo Verde 2,05000529
58,Palo Verde 3,05000530
59,Peach Bottom 2,05000277
60,Peach Bottom 3,05000278
61,Perry 1,05000440
62,Point Beach 1,05000266
63,Point Beach 2,05000301
64,Prairie Island 1,05000282
65,Prairie Island 2,05000306
66,Quad Cities 1,05000254
67,Quad Cities 2,05000265
68,River Bend Station 1,05000458
69,Robinson 2,05000261
70,Saint Lucie 1,05000335
71,Saint Lucie 2,05000389
72,Salem 1,05000272
73,Salem 2,05000311
74,Seabrook 1,05000443
75,Sequoyah 1,05000327
76,Sequoyah 2,05000328
77,South Texas 1,05000498
78,South Texas 2,05000499
79,Summer,05000395
80,Surry 1,05000280
81,Surry 2,05000281
82,Susquehanna 1,05000387
83,Susquehanna 2,05000388
84,Turkey Point 3,05000250
85,Turkey Point 4,05000251
86,Vogtle 1,05000424
87,Vogtle 2,05000425
88,Vogtle 3,05200025
89,Waterford 3,05000382
90,Watts Bar 1,05000390
91,Watts Bar 2,05000391
92,Wolf Creek 1,05000482
